SP ID	EgoNetworksCombined
1728	Graffigny
1729	Voltaire
1729	Rousseau
1729	Deffand
1729	Luxembourg
1729	Necker
1729	Geoffrin
1729	Boufflers-Luxembourg
1729	Dupin
1729	Lespinasse
1730	Rousseau
1730	Deffand
1730	
1731	Voltaire
1731	Rousseau
1731	Deffand
1732	Voltaire
1732	Hume
1732	Deffand
1733	Deffand
1733	Necker
1733	Stael
1734	Hume
1734	Deffand
1735	Deffand
1736	Deffand
1736	Henault
1737	Deffand
1738	Deffand
1739	Deffand
1739	LaReyniere
1740	Deffand
1741	Deffand
1742	Deffand
1742	Lespinasse
1743	Deffand
1743	Mirepoix
1744	Deffand
1744	Lambert
1744	Sully
1745	Deffand
1746	Deffand
1747	Deffand
1748	Deffand
1749	Deffand
1750	Deffand
1751	Deffand
1752	Deffand
1752	Forcalquier
1753	Holbach
1754	Holbach
1755	Hume
1755	Holbach
1756	Voltaire
1756	D'Alembert
1756	Holbach
1757	Holbach
1758	Holbach
1759	Rousseau
1759	Holbach
1760	Holbach
1761	Holbach
1762	Voltaire
1762	D'Alembert
1762	Rousseau
1762	Holbach
1762	Geoffrin
1763	Holbach
1764	Holbach
1765	Holbach
1766	Holbach
1767	Holbach
1768	Holbach
1769	Holbach
1770	Holbach
1771	Holbach
1772	Holbach
1773	Holbach
1774	Holbach
1775	Holbach
1776	Holbach
1777	Holbach
1778	Holbach
1779	Holbach
1780	Deffand
1781	Bentham
1781	ASmith
1781	Lespinasse
